,CharName,CharID,Event
0,Alicia Masters,1009435,116
1,Alpha Flight,1010370,116
2,Ancient One,1009152,116
3,Apocalypse,1009156,116
4,Archangel,1009159,116
5,Avengers,1009165,116
6,Banshee,1009168,116
7,Beast,1009175,116
8,Beetle (Abner Jenkins),1009179,116
9,Ben Grimm,1009329,116
10,Black Knight (Sir Percy of Scandia),1009186,116
11,Black Widow,1009189,116
12,Boom Boom,1010366,116
13,Bruce Banner,1009167,116
14,Bushwacker,1009213,116
15,Captain America,1009220,116
16,Captain Universe,1011027,116
17,Chameleon,1009234,116
18,Clea,1009239,116
19,Colossus,1009243,116
20,Constrictor,1009245,116
21,Cyclops,1009257,116
22,Dani Moonstar,1009453,116
23,Daredevil,1009262,116
24,Dazzler,1009267,116
25,Doctor Doom,1009281,116
26,Doctor Strange,1009282,116
27,Enchantress (Amora),1010671,116
28,Falcon,1009297,116
29,Fantastic Four,1009299,116
30,Felicia Hardy,1009335,116
31,Firestar,1009306,116
32,Forge,1009309,116
33,Franklin Richards,1009539,116
34,Gorgon,1009324,116
35,Grey Gargoyle,1011420,116
36,Harry Osborn,1009486,116
37,Havok,1009337,116
38,Hellcat (Patsy Walker),1010351,116
39,Hobgoblin (Roderick Kingsley),1009347,116
40,Hulk,1009351,116
41,Human Torch,1009356,116
42,Hydro-Man,1009360,116
43,Iceman,1009362,116
44,Impossible Man,1009364,116
45,Invisible Woman,1009366,116
46,Iron Man,1009368,116
47,Jubilee,1009381,116
48,Juggernaut,1009382,116
49,Karnak,1009385,116
50,Kingpin,1009389,116
51,Legion,1009399,116
52,Lilandra,1009402,116
53,Loki,1009407,116
54,Magneto,1009417,116
55,Mandarin,1009421,116
56,Marvel Boy,1009427,116
57,Mary Jane Watson,1009708,116
58,Mojo,1009448,116
59,Morbius,1009454,116
60,Mr. Fantastic,1009459,116
61,Mr. Hyde,1010347,116
62,Namor,1009466,116
63,Namorita,1009469,116
64,New Mutants,1011336,116
65,Nick Fury,1009471,116
66,Night Thrasher,1010684,116
67,Nova,1009477,116
68,Odin,1009480,116
69,Penance (Robert Baldwin),1009493,116
70,Peter Parker,1009491,116
71,Psylocke,1009512,116
72,Punisher,1009515,116
73,Quasar (Phyla-Vell),1009523,116
74,Red Skull,1009535,116
75,Rhino,1009537,116
76,Rogue,1009546,116
77,Scarlet Witch,1009562,116
78,Sebastian Shaw,1009581,116
79,Serpent Society,1009572,116
80,Shadow King,1009573,116
81,She-Hulk (Jennifer Walters),1009583,116
82,Shocker (Herman Schultz),1009585,116
83,Silver Surfer,1009592,116
84,Spider-Man,1009610,116
85,Spiral (Rita Wayword),1009614,116
86,Storm,1009629,116
87,Sub-Mariner,1010791,116
88,Thing,1009662,116
89,Thor,1009664,116
90,Thunderball,1010885,116
91,Tiger Shark,1009669,116
92,U-Foes,1011315,116
93,Ultron,1009685,116
94,Vanisher (Telford Porter),1011365,116
95,Vision,1009697,116
96,Vulture (Adrian Toomes),1009699,116
97,Warlock (Technarchy),1011287,116
98,Wolverine,1009718,116
99,Wonder Man,1009719,116
100,Wong,1009720,116
101,Wrecker,1010884,116
102,X-Men,1009726,116
103,Abyss,1009149,227
104,Abyss (Age of Apocalypse),1010903,227
105,Angel (Warren Worthington III),1009153,227
106,Apocalypse,1009156,227
107,Arcade,1009158,227
108,Archangel,1009159,227
109,Aurora,1009163,227
110,Banshee,1009168,227
